run,x,y,wheelpos,velocity
1,-10.7408896773333,575.5428,-4.457,1.6372
1,-10.7504858522667,577.18,-4.396,1.6372
1,-10.7597548272,578.8184,-4.243,1.6384
1,-10.76842524,580.4568,-3.969,1.6384
1,-10.7758286234667,582.0952,-3.389,1.6384
1,-10.7807634842667,583.7336,-2.259,1.6384
1,-10.7830310298667,585.372,-1.038,1.6384
1,-10.7826946117333,587.0104,0.154,1.6384
1,-10.7804926021333,588.6488,1.008,1.6384
1,-10.7764905370667,590.2872,1.832,1.6384
1,-10.7720198944,591.9268,2.045,1.6396
1,-10.7675492517333,593.5664,2.045,1.6396
1,-10.7630786090667,595.206,2.045,1.6396
1,-10.7592069669333,596.8456,1.771,1.6396
1,-10.756469928,598.4852,1.252,1.6396
1,-10.7547341381333,600.1248,0.794,1.6396
1,-10.7544652437333,601.7644,0.123,1.6396
1,-10.7542617845333,603.4052,0.093,1.6408
1,-10.7540583253333,605.046,0.093,1.6408
1,-10.7538548661333,606.6868,0.093,1.6408
1,-10.7536514069333,608.3276,0.093,1.6408
1,-10.7534479477333,609.9684,0.093,1.6408
1,-10.7532444885333,611.6092,0.093,1.6408
1,-10.7530410293333,613.25,0.093,1.6408
1,-10.7528374213333,614.892,0.093,1.642
1,-10.7526338133333,616.534,0.093,1.642
1,-10.7524302053333,618.176,0.093,1.642
1,-10.7522265973333,619.818,0.093,1.642
1,-10.7520229893333,621.460000000001,0.093,1.642
1,-10.7518193813333,623.102000000001,0.093,1.642
1,-10.7516157733333,624.744000000001,0.093,1.642
1,-10.7514121653333,626.386000000001,0.093,1.642
1,-10.7512084085333,628.029200000001,0.093,1.6432
1,-10.7510046517333,629.672400000001,0.093,1.6432
1,-10.7508008949333,631.315600000001,0.093,1.6432
1,-10.7505971381333,632.958800000001,0.093,1.6432
1,-10.7503933813333,634.602000000001,0.093,1.6432
1,-10.7501896245333,636.245200000001,0.093,1.6432
1,-10.7499858677333,637.8884,0.093,1.6432
1,-10.7497819621333,639.532800000001,0.093,1.6444
1,-10.7495780565333,641.177200000001,0.093,1.6444
1,-10.7493741509333,642.821600000001,0.093,1.6444
1,-10.7491702453334,644.466000000001,0.093,1.6444
1,-10.7489663397334,646.110400000001,0.093,1.6444
1,-10.7487624341334,647.754800000001,0.093,1.6444
1,-10.7485585285334,649.399200000001,0.093,1.6444
1,-10.7483544741334,651.044800000001,0.093,1.6456
1,-10.7481504197334,652.690400000001,0.093,1.6456
1,-10.7479463653334,654.336000000001,0.093,1.6456
1,-10.7477423109334,655.981600000001,0.093,1.6456
1,-10.7475382565334,657.627200000001,0.093,1.6456
1,-10.7473342021334,659.272800000001,0.093,1.6456
1,-10.7471301477334,660.918400000001,0.093,1.6456
1,-10.7469260933334,662.564000000001,0.093,1.6456
1,-10.7467218901334,664.210800000001,0.093,1.6468
1,-10.7465176869334,665.857600000001,0.093,1.6468
1,-10.7463134837334,667.504400000001,0.093,1.6468
1,-10.7461092805334,669.151200000001,0.093,1.6468
1,-10.7459050773334,670.798000000001,0.093,1.6468
1,-10.7457008741334,672.444800000001,0.093,1.6468
1,-10.7454966709334,674.091600000001,0.093,1.6468
1,-10.7452923189334,675.739600000001,0.093,1.648
1,-10.7450879669334,677.387600000001,0.093,1.648
1,-10.7448836149334,679.035600000001,0.093,1.648
1,-10.7446792629334,680.683600000001,0.093,1.648
1,-10.7444749109334,682.331600000001,0.093,1.648
1,-10.7442705589334,683.979600000001,0.093,1.648
1,-10.7440662069334,685.627600000001,0.093,1.648
1,-10.7438617061334,687.276800000001,0.093,1.6492
1,-10.7436572053334,688.926000000001,0.093,1.6492
1,-10.7434527045334,690.575200000001,0.093,1.6492
1,-10.7432482037334,692.224400000001,0.093,1.6492
1,-10.7430437029334,693.873600000001,0.093,1.6492
1,-10.7428392021334,695.522800000001,0.093,1.6492
1,-10.7426347013334,697.172000000001,0.093,1.6492
1,-10.7424300517334,698.822400000001,0.093,1.6504
1,-10.7422254021334,700.472800000001,0.093,1.6504
1,-10.7420207525334,702.123200000001,0.093,1.6504
1,-10.7418161029334,703.773600000001,0.093,1.6504
1,-10.7416114533334,705.424000000001,0.093,1.6504
1,-10.7414068037333,707.074400000001,0.093,1.6504
1,-10.7412021541334,708.724800000001,0.093,1.6504
1,-10.7409975045334,710.375200000001,0.093,1.6504
1,-10.7403897157334,712.026800000001,0.276,1.6516
1,-10.7389759461334,713.678400000001,0.642,1.6516
1,-10.7367561957334,715.330000000001,1.008,1.6516
1,-10.7341334549334,716.981600000001,1.191,1.6516
1,-10.731376384,718.633200000001,1.252,1.6516
1,-10.7279476624,720.284800000001,1.557,1.6516
1,-10.7238472901334,721.936400000001,1.862,1.6516
1,-10.7185340890667,723.589200000001,2.411,1.6528
1,-10.7114050117334,725.242000000001,3.235,1.6528
1,-10.7025283738667,726.894800000001,4.028,1.6528
1,-10.6910954053334,728.547600000001,5.188,1.6528
1,-10.6770421978667,730.200400000001,6.377,1.6528
1,-10.66023212,731.853200000001,7.628,1.6528
1,-10.6399930330667,733.506000000001,9.184,1.6528
1,-10.6163077530667,735.160000000001,10.74,1.654
1,-10.5898636010667,736.814000000001,11.991,1.654
1,-10.5603915264,738.468000000001,13.364,1.654
1,-10.5277570037334,740.122000000001,14.798,1.654
1,-10.4917593477334,741.776000000001,16.323,1.654
1,-10.4505791584,743.430000000001,18.673,1.654
1,-10.4041524810667,745.084000000001,21.052,1.654
1,-10.3515634666667,746.739200000001,23.829,1.6552
1,-10.2940596117333,748.394400000001,26.056,1.6552
1,-10.2318439541334,750.049600000001,28.191,1.6552
1,-10.1661943082667,751.704800000001,29.747,1.6552
1,-10.0978499968,753.360000000001,30.968,1.6552
1,-10.0274179264,755.015200000001,31.914,1.6552
1,-9.95483188906668,756.670400000001,32.89,1.6552
1,-9.88049575360001,758.325600000001,33.683,1.6552
1,-9.80469005546668,759.982000000001,34.324,1.6564
1,-9.72807603413335,761.638400000001,34.69,1.6564
1,-9.65132729226668,763.294800000001,34.751,1.6564
1,-9.57457855040001,764.951200000001,34.751,1.6564
1,-9.49782980853335,766.607600000001,34.751,1.6564
1,-9.42108106666668,768.264000000001,34.751,1.6564
1,-9.34453550986668,769.920400000001,34.659,1.6564
1,-9.26827043893335,771.578000000001,34.507,1.6576
1,-9.19200536800001,773.235600000001,34.507,1.6576
1,-9.11526953866668,774.893200000001,34.72,1.6576
1,-9.03691368160001,776.550800000001,35.453,1.6576
1,-8.95667037066668,778.208400000001,36.307,1.6576
1,-8.87393181920001,779.866000000001,37.436,1.6576
1,-8.78856320906668,781.523600000001,38.626,1.6576
1,-8.70104270933335,783.182400000001,39.571,1.6588
1,-8.61129499413335,784.841200000001,40.578,1.6588
1,-8.51985972640001,786.500000000001,41.341,1.6588
1,-8.42748004853335,788.158800000001,41.768,1.6588
1,-8.33462705973335,789.817600000001,41.982,1.6588
1,-8.24143788746668,791.476400000001,42.134,1.6588
1,-8.14824871520001,793.135200000001,42.134,1.6588
1,-8.05499212853334,794.795200000001,42.134,1.66
1,-7.96173554186668,796.455200000001,42.134,1.66
1,-7.86847895520001,798.115200000001,42.134,1.66
1,-7.77522236853334,799.775200000001,42.134,1.66
1,-7.68196578186668,801.435200000001,42.134,1.66
1,-7.58830415520001,803.095200000001,42.317,1.66
1,-7.49403386186668,804.755200000001,42.592,1.66
1,-7.39868346186668,806.415200000001,43.08,1.66
1,-7.30238480533334,808.076400000001,43.477,1.6612
1,-7.20500526133334,809.737600000001,43.965,1.6612
1,-7.10559905333334,811.398800000001,44.88,1.6612
1,-7.00349062666668,813.060000000001,46.1,1.6612
1,-6.89834109653334,814.721200000001,47.473,1.6612
1,-6.78940624533334,816.382400000001,49.182,1.6612
1,-6.67702495786668,818.043600000001,50.738,1.6612
1,-6.56151918933334,819.706000000001,52.111,1.6624
1,-6.44385008426668,821.368400000001,53.087,1.6624
1,-6.32401764266668,823.030800000001,54.063,1.6624
1,-6.20256269866667,824.693200000001,54.795,1.6624
1,-6.07982216533334,826.355600000001,55.375,1.6624
1,-5.95613517226667,828.018000000001,55.802,1.6624
1,-5.83190734506667,829.680400000001,56.046,1.6624
1,-5.70684455146667,831.344000000001,56.382,1.6636
1,-5.58096992106667,833.007600000001,56.748,1.6636
1,-5.45421469173334,834.671200000001,57.145,1.6636
1,-5.3257692448,836.334800000001,57.907,1.6636
1,-5.1959019744,837.998400000001,58.548,1.6636
1,-5.06434226826667,839.662000000001,59.311,1.6636
1,-4.93149826293334,841.325600000001,59.89,1.6636
1,-4.79686477706667,842.990400000001,60.653,1.66480000000001
1,-4.66087725386667,844.655200000001,61.263,1.66480000000001
1,-4.52285645493334,846.320000000001,62.179,1.66480000000001
1,-4.38341502666667,847.984800000001,62.819,1.66480000000001
1,-4.2428215568,849.649600000001,63.338,1.66480000000001
1,-4.10182187573333,851.314400000001,63.521,1.66480000000001
1,-3.96082219466667,852.979200000001,63.521,1.66480000000001
1,-3.8198225136,854.644000000001,63.521,1.66480000000001
1,-3.67872119893333,856.310000000001,63.521,1.66600000000001
1,-3.53836625226667,857.976000000001,63.185,1.66600000000001
1,-3.3988909536,859.642000000001,62.789,1.66600000000001
1,-3.26029752426666,861.308000000001,62.392,1.66600000000001
1,-3.12251710293333,862.974000000001,62.026,1.66600000000001
1,-2.9859561936,864.640000000001,61.477,1.66600000000001
1,-2.8503437936,866.306000000001,61.05,1.66600000000001
1,-2.71639649973333,867.973200000001,60.257,1.66720000000001
1,-2.58468769973333,869.640400000001,59.25,1.66720000000001
1,-2.45582870026666,871.307600000001,57.968,1.66720000000001
1,-2.32961276853333,872.974800000001,56.779,1.66720000000001
1,-2.20638223626666,874.642000000001,55.436,1.66720000000001
1,-2.08545688586666,876.309200000001,54.399,1.66720000000001
1,-1.96785482079999,877.976400000001,52.904,1.66720000000001
1,-1.85369844373333,879.644800000001,51.317,1.66840000000001
1,-1.74524132106666,881.313200000001,48.755,1.66840000000001
1,-1.64370694613333,882.981600000001,45.643,1.66840000000001
1,-1.55242099626666,884.650000000001,41.036,1.66840000000001
1,-1.47226661119999,886.318400000001,36.032,1.66840000000001
1,-1.40249634773333,887.986800000001,31.364,1.66840000000001
1,-1.34453390719999,889.655200000001,26.056,1.66840000000001
1,-1.29664977919999,891.324800000002,21.51,1.66960000000001
1,-1.26153475199999,892.994400000002,15.774,1.66960000000001
1,-1.23531535359999,894.664000000002,11.778,1.66960000000001
