step,run,clock_begin,time,x,y,collision,wheelpos,throttlepos,velocity,chosenvel
176,1,2.73300888735885,2017-10-27 15:16:48.551000,6.39158266533333,265.62,0,65.77,1000.0,1.505,1.505
177,1,2.73310226655445,2017-10-27 15:16:48.551000,6.52364882533333,267.126,0,65.77,1000.0,1.506,1.505
178,1,2.74574990564556,2017-10-27 15:16:48.564000,6.65547000933333,268.632,0,65.648,1000.0,1.506,1.506
179,1,2.7587832520146,2017-10-27 15:16:48.577000,6.78667875333333,270.138,0,65.343,1000.0,1.506,1.506
180,1,2.80126078980758,2017-10-27 15:16:48.619000,6.91231128133333,271.644,0,62.566,1000.0,1.506,1.506
181,1,2.80132515562387,2017-10-27 15:16:48.619000,7.03794380933333,273.15,0,62.566,1000.0,1.506,1.506
182,1,2.81393110322034,2017-10-27 15:16:48.632000,7.16051212933333,274.656,0,61.04,1000.0,1.506,1.506
183,1,2.82696542482902,2017-10-27 15:16:48.645000,7.27872911333333,276.162,0,58.873,1000.0,1.506,1.506
184,1,2.86953463514822,2017-10-27 15:16:48.687000,7.37899056133333,277.668,0,49.931,1000.0,1.506,1.506
185,1,2.86963313435194,2017-10-27 15:16:48.687000,7.479318584,279.175,0,49.931,1000.0,1.507,1.506
186,1,2.88213448749694,2017-10-27 15:16:48.700000,7.57363669066666,280.682,0,46.94,1000.0,1.507,1.507
187,1,2.89514711002361,2017-10-27 15:16:48.713000,7.66090203733333,282.189,0,43.43,1000.0,1.507,1.507
188,1,2.9379313606836,2017-10-27 15:16:48.755000,7.72823680666666,283.696,0,33.511,1000.0,1.507,1.507
189,1,2.9379862179134,2017-10-27 15:16:48.755000,7.795571576,285.203,0,33.511,1000.0,1.507,1.507
190,1,2.95048683962867,2017-10-27 15:16:48.768000,7.857388716,286.71,0,30.765,1000.0,1.507,1.507
191,1,2.9633287952182,2017-10-27 15:16:48.781000,7.91454420266666,288.217,0,28.445,1000.0,1.507,1.507
192,1,3.00616790310799,2017-10-27 15:16:48.823000,7.95655333466666,289.724,0,20.907,1000.0,1.507,1.507
193,1,3.00626323278288,2017-10-27 15:16:48.823000,7.99859034266666,291.232,0,20.907,1000.0,1.508,1.507
194,1,3.01876458592788,2017-10-27 15:16:48.836000,8.035594652,292.74,0,18.404,1000.0,1.508,1.508
195,1,3.03150926136325,2017-10-27 15:16:48.850000,8.06830417733333,294.248,0,16.268,1000.0,1.508,1.508
196,1,3.07553304160665,2017-10-27 15:16:48.893000,8.08824999066666,295.756,0,9.92,1000.0,1.508,1.508
197,1,3.07558619216707,2017-10-27 15:16:48.893000,8.108195804,297.264,0,9.92,1000.0,1.508,1.508
198,1,3.08808754531207,2017-10-27 15:16:48.906000,8.126484828,298.772,0,9.096,1000.0,1.508,1.508
199,1,3.10069349290854,2017-10-27 15:16:48.919000,8.14452855066666,300.28,0,8.974,1000.0,1.508,1.508
200,1,3.1448023628106,2017-10-27 15:16:48.963000,8.16962770266666,301.788,0,12.483,1000.0,1.508,1.508
201,1,3.14489013437827,2017-10-27 15:16:48.963000,8.19474349866666,303.297,0,12.483,1000.0,1.509,1.508
